Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10,Agent 11,Agent 12,Agent 13,Agent 14,Agent 15,Agent 16
-0.11009691355006856,-0.07287114181305661,-0.1526708318100162,-0.06414822152730312,-0.09762627585721428,-0.032595683403310316,-0.023476265658072797,-0.09879737825493802,-0.07833353105166378,-0.04442598632846386,-0.0391885561608661,-0.07333903761762446,-0.17458729925534597,-0.09905829265104543,-0.09291830042680177,-0.14046127218844703
-0.10893861295610463,-0.08722798972589185,-0.150211421907604,-0.07949610692975878,-0.09238884568961653,-0.035306568583226346,-0.018238835490475037,-0.12067526458949436,-0.06545359409556574,-0.043070543738505836,-0.04054399875082411,-0.05269512550624688,-0.17466297288456076,-0.10048087032627288,-0.10720801325436762,-0.14822524734372652
-0.11282060053374433,-0.10675513272105547,-0.13838111898245048,-0.07949610692975878,-0.08462487053433702,-0.03006913841562858,-0.023476265658072808,-0.13879263171319017,-0.08856545465330092,-0.04442598632846386,-0.03006913841562859,-0.06434108823916616,-0.17324039520933332,-0.10578543557914011,-0.1320397215023984,-0.11878479110969904
-0.12435363344382971,-0.08625829258397652,-0.1463294343299643,-0.08744868553708693,-0.08850685811197677,-0.027358253235712553,-0.023476265658072808,-0.13367666991237162,-0.09614936490047706,-0.04830797390610362,-0.04054399875082411,-0.06557506246234497,-0.16935840763169357,-0.11102286574673788,-0.13578743890949924,-0.12144134300810533
-0.10623626632013386,-0.09673315291917206,-0.14251458183759397,-0.11474406694734439,-0.09238884568961651,-0.032595683403310316,-0.015712290502793297,-0.10638128850211419,-0.10514731427893537,-0.044425986328463854,-0.04830797390610362,-0.08369242958604078,-0.191102023795711,-0.11490485332437762,-0.12673515624953122,-0.1263687013568752
-0.11005111881250418,-0.10442999298918214,-0.12298743884243037,-0.13396540138349447,-0.10015282084489602,-0.03395112599326833,-0.03124024081335232,-0.11026327607975389,-0.08715141552201876,-0.04966341649606164,-0.04830797390610362,-0.07204646685312152,-0.19240313310415927,-0.12389000089907623,-0.14626229924469478,-0.10698436707619582
-0.11898193310569302,-0.09395513265398658,-0.1500771517370651,-0.14413018989986215,-0.09374428827957453,-0.024831708248030823,-0.04171510114854783,-0.10514731427893538,-0.08715141552201876,-0.05878283424129914,-0.044425986328463854,-0.062927049107884,-0.1937042424126075,-0.12499396821153048,-0.14626229924469475,-0.11610378482143335
-0.13833327445256774,-0.08625829258397652,-0.1409577339918275,-0.12472025201166334,-0.09374428827957453,-0.03530656858322634,-0.03647767098095008,-0.10761526272529295,-0.08715141552201877,-0.06925769457649467,-0.05490084666365939,-0.06804301090870256,-0.2077052237690505,-0.1292617012372129,-0.13998803684991218,-0.1342083501413695
-0.14738555711253573,-0.09815573059439953,-0.1476848769199223,-0.10661142343191286,-0.08715141552201873,-0.0391885561608661,-0.031240240813352308,-0.1024993009244744,-0.10514731427893537,-0.06402026440889691,-0.0626648218189389,-0.06416102333106281,-0.20246779360145278,-0.13055000874190148,-0.13998803684991218,-0.1558848312201175
-0.1333387810185283,-0.10054800541154237,-0.16055201207226058,-0.09891458336190284,-0.08591744129883998,-0.06130937922898089,-0.04947907630382735,-0.10373327514765321,-0.11938269382499142,-0.05490084666365939,-0.05490084666365939,-0.06157160651792599,-0.19334837585621523,-0.13048287365663203,-0.15046289718510775,-0.13783459918169114
-0.12564194094851824,-0.1161931608290662,-0.15809260216984836,-0.10784539765509171,-0.098797378254938,-0.06907335438426038,-0.05471650647142511,-0.10373327514765321,-0.10650275686889338,-0.04713687150837989,-0.061493719421215176,-0.06804301090870256,-0.2100431653046836,-0.13048287365663203,-0.15046289718510775,-0.14546430416643175
-0.12434083164007002,-0.10429572281864317,-0.18253856496983642,-0.11159311506219256,-0.10927223859013353,-0.07431078455185813,-0.028713695825670568,-0.12080100824040454,-0.08585884475751583,-0.05490084666365941,-0.0628491620111732,-0.07204646685312152,-0.2179286088267423,-0.12666802116426173,-0.17807262569832405,-0.13408688177459027
-0.12957826180766777,-0.10675513272105548,-0.1994219578703535,-0.11153878178068277,-0.11315422616777328,-0.04830797390610361,-0.02483170824803082,-0.12468299581804429,-0.08974083233515556,-0.07178423956417641,-0.05761173184357543,-0.07981044200840101,-0.24348707748313,-0.11903831617952114,-0.19236233852588985,-0.14444027374300655
-0.13106797456816474,-0.12111198063389078,-0.18642055254747622,-0.1257283665891744,-0.11038474444653312,-0.043070543738505856,-0.024831708248030823,-0.11661321210375125,-0.08585884475751582,-0.07954821471945593,-0.056256289253617406,-0.1004543541197786,-0.23953795482022078,-0.13475060668231442,-0.20141462118585793,-0.1483222613206463
-0.14782989910190253,-0.12777198847671598,-0.18150173274265166,-0.13091146347526242,-0.10385474351443241,-0.03918855616086609,-0.019594278080433052,-0.12449865562580996,-0.09497826250275335,-0.0781927721294979,-0.07449512474409244,-0.11068627772141569,-0.24595502592948762,-0.14619516415942535,-0.20522947367822825,-0.1353879910830385
